reset
z:-0.557121124028, rot:0.968573700637
z:-0.581514901548, rot:0.974126712411
z:-0.48126268015, rot:0.980256206399
z:-0.336708173694, rot:0.952338747205
z:-0.35585972353, rot:0.943488938424
z:-0.354961989874, rot:0.885655226529
z:-0.348836434145, rot:0.838921013744
z:-0.314787982753, rot:0.833030345979
z:-0.359495244009, rot:0.779097161445
z:-0.344204519505, rot:0.753375659136
z:-0.358882209356, rot:0.675630056624
z:-0.337028643244, rot:0.662110991977
z:-0.29387753299, rot:0.647166539635
z:-0.253197653958, rot:0.577532660889
z:-0.222433171348, rot:0.586185309185
z:-0.173300445159, rot:0.588330315743
z:-0.145092907844, rot:0.533306826735
z:-0.0108651850548, rot:0.534001528073
z:0.0244530635144, rot:0.478016837368
z:-0.00581623837052, rot:0.465385700933
z:-0.0583714529967, rot:0.466539571447
z:-0.106837302354, rot:0.478407166457
z:-0.0819423502062, rot:0.461400182907
z:-0.0895717614459, rot:0.409683534614
z:-0.112515351437, rot:0.390862827619
z:-0.126323701349, rot:0.388523054636
z:-0.088207159443, rot:0.3662638516
z:-0.0665195054822, rot:0.389081023322
z:-0.109592563951, rot:0.385721205562
z:-0.149441592543, rot:0.400891411817
z:-0.159352155959, rot:0.380659835642
z:-0.160278163642, rot:0.363274553338
z:-0.180099933726, rot:0.327371288218
z:-0.114775987698, rot:0.310255897333
z:-0.0987663596821, rot:0.31658592377
z:-0.142031703258, rot:0.232142437034
z:-0.233270549213, rot:0.19684175007
z:-0.307203986006, rot:0.198088241161
z:-0.380042447276, rot:0.199338765829
z:-0.41685692923, rot:0.153557343807
z:-0.491507418014, rot:0.162991797806
z:-0.535259511073, rot:0.159937473568
z:-0.450575828664, rot:0.14530108574
z:-0.403450095027, rot:0.130300771446
z:-0.369875261493, rot:0.100773848394
z:-0.34471806116, rot:0.0982564769227
z:-0.435531029784, rot:0.106576271893
z:-0.454736054329, rot:0.118096982575
z:-0.475814739471, rot:0.106837460785
z:-0.528253342194, rot:0.118529864765
z:-0.555634898454, rot:0.111351076471
z:-0.622643465028, rot:0.127439464168
z:-0.696126106434, rot:0.163333904203
z:-0.699266858273, rot:0.178732539613
z:-0.705370147885, rot:0.133659753651
z:-0.777396834494, rot:0.121986282025
z:-0.812602170563, rot:0.0857745409866
z:-0.923107850389, rot:0.0572862329708
z:-1.00187978163, rot:0.0581020875175
z:-0.956061061332, rot:0.0461693566487
z:-0.939927393364, rot:0.0108314211166
z:-0.904810481901, rot:-0.0100927536639
z:-0.834139847994, rot:-0.049745884807
z:-0.749924690961, rot:-0.0847514569863
z:-0.669328816826, rot:-0.0988529385682
z:-0.761956144455, rot:-0.0764850457956
z:-0.730791679062, rot:-0.0700925289916
z:-0.61670895035, rot:-0.0763668498667
z:-0.631979873097, rot:-0.0560119918247
z:-0.582975250522, rot:-0.0438068499279
z:-0.557473502601, rot:-0.0540176718508
z:-0.506389994361, rot:-0.0757966316312
z:-0.516018066797, rot:-0.0727562705487
z:-0.610364979096, rot:-0.0926714124693
z:-0.867835028503, rot:-0.114808979242
z:-0.988168602922, rot:-0.0869072567493
z:-0.994518816356, rot:-0.091697332855
z:-0.98326208525, rot:-0.0819960945859
z:-0.843009497437, rot:-0.0900675834529
z:-0.732056944013, rot:-0.0974374275282
z:-0.864240679435, rot:-0.0984219306106
z:-0.931852758759, rot:-0.0894925236421
z:-0.969606580724, rot:-0.0872940230599
z:-0.972596258442, rot:-0.0935877079095
z:-0.933230112619, rot:-0.0587425118045
z:-1.07016268249, rot:-0.0521998342353
z:-1.11796993638, rot:-0.032374799517
z:-1.30581141758, rot:-0.0168961161437
z:-1.42807625679, rot:-0.0276604934861
z:-1.43995132702, rot:-0.0145535309373
z:-1.26434730273, rot:-0.00724124172397
z:-1.17417695241, rot:0.00834906332734
z:-1.13595264568, rot:-0.0210870309549
z:-1.13848696771, rot:-0.0229016982675
z:-1.16852982271, rot:-0.0360321123882
z:-1.1350555074, rot:-0.00759245248743
z:-1.20756534141, rot:0.0203457577543
z:-1.26566990285, rot:0.0133867464934
z:-1.19712890406, rot:0.0115462414711
z:-1.22007007997, rot:0
reset
z:-3.87096263114, rot:-0.0132209647476
z:-4.13299929061, rot:-0.000466328983603
z:-4.8008738475, rot:0.00435727936035
z:-4.95877497503, rot:0
reset
z:-3.75393041174, rot:0.0329512367223
z:-3.36945527882, rot:0.0423330019688
z:-3.37368763752, rot:0.044377527302
z:-3.03597754996, rot:0.0488649572517
z:-2.66719023176, rot:0.0301902547569
z:-2.61153354401, rot:0.0114189300792
